ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0002-0575-6523,1,9,1,3,0.225806452,0,1,-0.179294824
0000-0002-0604-9601,1,0,1,0,0,0,0,0.035714286
0000-0002-0606-9469,1,0,1,0,0,0,1,0
0000-0002-0615-9341,0,0,1,0,0,0,1,0
0000-0002-0638-5189,0,41,1,11,0.411764706,3,1,0.072106262
0000-0002-0677-8097,0,0,1,0,0,1,1,0.037037037
0000-0002-0684-4162,0,6,1,3,0,1,1,0.212389381
0000-0002-0703-3732,0,6,1,9,0,1,1,0.058823529
0000-0002-0704-4669,0,0,1,0,0,3,1,0.045977011
0000-0002-0720-5311,0,15,1,10,0.152173913,1,1,0.193979933
